Agent_1,Agent_2,Agent_1_Wins,Agent_2_Wins,Agent_1_Win_Rate,Agent_2_Win_Rate,Avg_Game_Length
Random,DMC+MCTS,1007,993,0.5035,0.4965,46.1345
DMC+MCTS,Random,1020,980,0.51,0.49,44.9965
