Agent,Wins,Games,Win_Rate,CI_Lower_95,CI_Upper_95,SE,Avg_Placement
RLCard DMC,4038,7000,0.5768571428571428,0.565283323080703,0.5884309626335827,0.0059051185979603045,1.423142857142857
DRON (57.5%),3738,7000,0.534,0.5223140867538439,0.5456859132461561,0.0059623101946429165,1.466
Heuristic,3643,7000,0.5204285714285715,0.5087253266862458,0.5321318161708971,0.005971152957217222,1.4795714285714285
DQN + MCTS,3386,7000,0.4837142857142857,0.472007475387339,0.4954210960412324,0.005972972166472712,1.5162857142857142
DMC,3350,7000,0.4785714285714286,0.4668691652372284,0.4902736919056288,0.005970652229584907,1.5214285714285714
Random,3332,7000,0.476,0.4643004760481901,0.4876995239518099,0.005969254559825708,1.524
DQN,3300,7000,0.4714285714285714,0.4597346852333841,0.4831224576237587,0.00596637810053,1.5285714285714285
DMC + MCTS,3213,7000,0.459,0.44732642047248855,0.4706735795275115,0.005956017365416496,1.541
