Agent,Wins,Games,Win_Rate,CI_Lower_95,CI_Upper_95,SE,Avg_Placement
DRON (57.5%),11174,21000,0.5320952380952381,0.5253466664583873,0.5388438097320888,0.0034432120641412858,1.4679047619047618
DMC + MCTS,9937,21000,0.4731904761904762,0.46643768609879505,0.4799432662821574,0.0034453643765632092,1.5268095238095238
DMC,9518,21000,0.4532380952380952,0.44650521684572353,0.4599709736304669,0.0034352051596252763,1.5237653061224492
DQN + MCTS,8854,21000,0.4216190476190476,0.4149401383132806,0.42829795692481465,0.0034076694053816374,1.5073214285714285
DQN,7014,21000,0.334,0.32762105596919694,0.3403789440308031,0.003254623085484927,1.5303174603174603
RLCard DMC,6397,21000,0.3046190476190476,0.29839420512725096,0.3108438901108443,0.0031759984065510578,1.4184545454545454
Heuristic,3106,21000,0.1479047619047619,0.14310329885420323,0.15270622495532057,0.0024497710613215385,1.4947142857142857
Random,0,21000,0.0,0.0,0.0,0.0,
