Agent,Wins,Games,Win_Rate,CI_Lower_95,CI_Upper_95,SE,Avg_Placement
DRON (57.5%),18956,35000,0.5416,0.5363799375203607,0.5468200624796392,0.002663346123099394,1.4584
DMC + MCTS,16607,35000,0.4744857142857143,0.4692543145904285,0.4797171139810001,0.002669130523086336,1.5255142857142858
DMC,14567,35000,0.4162,0.4110358701712327,0.4213641298287673,0.002634808531943071,1.5144333333333333
DQN + MCTS,10783,35000,0.3080857142857143,0.30324871528143876,0.31292271328998983,0.0024679019831125243,1.5098636363636364
DQN,6172,35000,0.17634285714285713,0.1723501611870651,0.18033555309864918,0.0020371272060537397,1.5252307692307692
RLCard DMC,2915,35000,0.08328571428571428,0.08039092920377142,0.08618049936765715,0.001476958303711987,1.417
Heuristic,0,35000,0.0,0.0,0.0,0.0,
Random,0,35000,0.0,0.0,0.0,0.0,
