Agent_1,Agent_2,Win_Rate_1,Win_Rate_2,Difference,Z_Statistic,P_Value,Significant,Highly_Significant
DRON (57.5%),DMC + MCTS,0.5416,0.4744857142857143,0.06711428571428568,17.75906867193921,0.0,True,True
DRON (57.5%),DMC,0.5416,0.4162,0.12539999999999996,33.20730306344661,0.0,True,True
DRON (57.5%),DQN + MCTS,0.5416,0.3080857142857143,0.23351428571428567,62.492091451756316,0.0,True,True
DRON (57.5%),DQN,0.5416,0.17634285714285713,0.36525714285714284,100.7277439113799,0.0,True,True
DRON (57.5%),RLCard DMC,0.5416,0.08328571428571428,0.4583142857142857,130.8105342607327,0.0,True,True
DRON (57.5%),Heuristic,0.5416,0.0,0.5416,161.23154663149103,0.0,True,True
DRON (57.5%),Random,0.5416,0.0,0.5416,161.23154663149103,0.0,True,True
DMC + MCTS,DMC,0.4744857142857143,0.4162,0.058285714285714274,15.513921757171616,0.0,True,True
DMC + MCTS,DQN + MCTS,0.4744857142857143,0.3080857142857143,0.1664,45.10436812433708,0.0,True,True
DMC + MCTS,DQN,0.4744857142857143,0.17634285714285713,0.29814285714285715,84.17954154036251,0.0,True,True
DMC + MCTS,RLCard DMC,0.4744857142857143,0.08328571428571428,0.3912,115.3991703733337,0.0,True,True
DMC + MCTS,Heuristic,0.4744857142857143,0.0,0.4744857142857143,147.55449741075753,0.0,True,True
DMC + MCTS,Random,0.4744857142857143,0.0,0.4744857142857143,147.55449741075753,0.0,True,True
DMC,DQN + MCTS,0.4162,0.3080857142857143,0.10811428571428572,29.757773531174436,0.0,True,True
DMC,DQN,0.4162,0.17634285714285713,0.23985714285714288,69.49030259048054,0.0,True,True
DMC,RLCard DMC,0.4162,0.08328571428571428,0.3329142857142857,101.7419011466626,0.0,True,True
DMC,Heuristic,0.4162,0.0,0.4162,135.6281658381,0.0,True,True
DMC,Random,0.4162,0.0,0.4162,135.6281658381,0.0,True,True
DQN + MCTS,DQN,0.3080857142857143,0.17634285714285713,0.13174285714285716,40.67925758927072,0.0,True,True
DQN + MCTS,RLCard DMC,0.3080857142857143,0.08328571428571428,0.2248,74.95884378673689,0.0,True,True
DQN + MCTS,Heuristic,0.3080857142857143,0.0,0.3080857142857143,112.90043668625995,0.0,True,True
DQN + MCTS,Random,0.3080857142857143,0.0,0.3080857142857143,112.90043668625995,0.0,True,True
DQN,RLCard DMC,0.17634285714285713,0.08328571428571428,0.09305714285714285,36.62701445970321,0.0,True,True
DQN,Heuristic,0.17634285714285713,0.0,0.17634285714285713,82.27281564113439,0.0,True,True
DQN,Random,0.17634285714285713,0.0,0.17634285714285713,82.27281564113439,0.0,True,True
RLCard DMC,Heuristic,0.08328571428571428,0.0,0.08328571428571428,55.15127887142564,0.0,True,True
RLCard DMC,Random,0.08328571428571428,0.0,0.08328571428571428,55.15127887142564,0.0,True,True
Heuristic,Random,0.0,0.0,0.0,0.0,1.0,False,False
