Agent_1,Agent_2,Win_Rate_1,Win_Rate_2,Difference,Z_Statistic,P_Value,Significant,Highly_Significant
DRON (57.5%),DMC + MCTS,0.5320952380952381,0.4731904761904762,0.05890476190476185,12.072052542734223,0.0,True,True
DRON (57.5%),DMC,0.5320952380952381,0.4532380952380952,0.07885714285714285,16.16264368364473,0.0,True,True
DRON (57.5%),DQN + MCTS,0.5320952380952381,0.4216190476190476,0.11047619047619045,22.665173273320864,0.0,True,True
DRON (57.5%),DQN,0.5320952380952381,0.334,0.19809523809523805,40.96637782708448,0.0,True,True
DRON (57.5%),RLCard DMC,0.5320952380952381,0.3046190476190476,0.22747619047619044,47.252936472563256,0.0,True,True
DRON (57.5%),Heuristic,0.5320952380952381,0.1479047619047619,0.3841904761904762,83.10550981625634,0.0,True,True
DRON (57.5%),Random,0.5320952380952381,0.0,0.5320952380952381,123.38728031429942,0.0,True,True
DMC + MCTS,DMC,0.4731904761904762,0.4532380952380952,0.019952380952381,4.100132869654539,4.129129995389391e-05,True,True
DMC + MCTS,DQN + MCTS,0.4731904761904762,0.4216190476190476,0.0515714285714286,10.627960736096172,0.0,True,True
DMC + MCTS,DQN,0.4731904761904762,0.334,0.1391904761904762,29.071042246082783,0.0,True,True
DMC + MCTS,RLCard DMC,0.4731904761904762,0.3046190476190476,0.1685714285714286,35.43256044223925,0.0,True,True
DMC + MCTS,Heuristic,0.4731904761904762,0.1479047619047619,0.3252857142857143,72.03497343200402,0.0,True,True
DMC + MCTS,Random,0.4731904761904762,0.0,0.4731904761904762,114.09069155560017,0.0,True,True
DMC,DQN + MCTS,0.4532380952380952,0.4216190476190476,0.0316190476190476,6.531320942873059,6.519207396138427e-11,True,True
DMC,DQN,0.4532380952380952,0.334,0.1192380952380952,25.009145362352,0.0,True,True
DMC,RLCard DMC,0.4532380952380952,0.3046190476190476,0.1486190476190476,31.392049597334722,0.0,True,True
DMC,Heuristic,0.4532380952380952,0.1479047619047619,0.30533333333333335,68.23753596126642,0.0,True,True
DMC,Random,0.4532380952380952,0.0,0.4532380952380952,110.93692262021388,0.0,True,True
DQN + MCTS,DQN,0.4216190476190476,0.334,0.0876190476190476,18.518041265788607,0.0,True,True
DQN + MCTS,RLCard DMC,0.4216190476190476,0.3046190476190476,0.11699999999999999,24.930263326172703,0.0,True,True
DQN + MCTS,Heuristic,0.4216190476190476,0.1479047619047619,0.2737142857142857,62.14781305353906,0.0,True,True
DQN + MCTS,Random,0.4216190476190476,0.0,0.4216190476190476,105.92021191947755,0.0,True,True
DQN,RLCard DMC,0.334,0.3046190476190476,0.029380952380952396,6.457727956840019,1.0628653512867459e-10,True,True
DQN,Heuristic,0.334,0.1479047619047619,0.18609523809523812,44.58921099956012,0.0,True,True
DQN,Random,0.334,0.0,0.334,91.76147376337681,0.0,True,True
RLCard DMC,Heuristic,0.3046190476190476,0.1479047619047619,0.15671428571428572,38.37960738260771,0.0,True,True
RLCard DMC,Random,0.3046190476190476,0.0,0.3046190476190476,86.8699403732964,0.0,True,True
Heuristic,Random,0.1479047619047619,0.0,0.1479047619047619,57.91406723259563,0.0,True,True
