Model,Mean,Std,CI_Lower,CI_Upper,N_Runs,Min,Max
RLCard DMC+MCTS (100M),0.6134,0.02266362724719944,0.5963104377621641,0.6304895622378358,10,0.576,0.642
RLCard DMC (100M),0.6037999999999999,0.014925146565444521,0.5925456575967774,0.6150543424032224,10,0.566,0.624
DQN+MCTS,0.5115999999999999,0.016823792675850487,0.4989139789639841,0.5242860210360157,10,0.478,0.536
DMC Ep10k,0.5004,0.017884071124886543,0.4869144734679485,0.5138855265320513,10,0.472,0.536
DQN Original,0.49779999999999996,0.020908371529126817,0.482033992527257,0.513566007472743,10,0.47,0.536
DMC Old,0.4742,0.015111584959890864,0.46280507328030157,0.48559492671969845,10,0.452,0.496
